fname,mname,lname,gender,ssn,dob,salary
Erin,Kerry,Shannon,F,000-43-4438,03/08/1948,68600
Claire,Cynthia,McBride,F,900-53-2278,01/31/1974,133400
Norman,Brady,Lockwood,M,000-95-9299,10/22/1970,86700
Philip,Joseph,Quigley,M,900-35-5632,09/15/1932,107300
Joshua,Roger,Surbaugh,M,900-93-6437,05/29/1953,145300
Stephen,Jesse,Ramirez,M,800-51-0700,09/11/1931,64400
Ally,Diana,Garcia,F,800-76-4091,10/23/1981,144400
Abigail,Beth,Cottrell,F,800-61-5178,07/28/1971,136200
Samuel,Richard,Milam,M,000-45-1057,06/23/1972,123100
Michael,Joseph,Waln,M,900-14-2640,09/05/1932,133200
Isaak,Joseph,Flynn,M,800-77-9302,12/15/1937,102300
Mikayla,Sarah,Cobb,F,900-10-0622,10/07/1934,103500
Madeline,Amy,Collins,F,900-70-7579,02/24/1934,115000
Deborah,Melodie,Scholz,F,900-80-0090,10/15/1949,84500
Kayla,Gabrielle,Johnson,F,000-19-9907,03/07/1964,51000
Kimberly,Heather,Novas,F,800-03-1447,05/20/1946,46900
Sarah,Susan,Graham,F,900-25-5379,02/06/1942,108100
Joshua,Jerry,Lauderdale,M,000-71-4720,01/21/1938,57700
Kaylah,Teresa,Aamot,F,900-17-8157,12/26/1968,108200
Michelle,Andrea,Allen,F,000-11-4096,11/15/1968,110600
Manuel,Gregory,Escalera,M,800-14-9088,01/26/1971,126600
Debora,Lottie,Roush,F,800-72-9463,01/25/1973,134100
Justin,Michael,Rogers,M,800-59-2829,05/08/1954,97700
Alton,Rickey,Adams,M,900-69-0111,02/07/1966,97900
Joaquin,Phillip,MacLean,M,000-24-6902,03/29/1932,112200
Lindsay,Zoey,Leavitt,F,000-36-8227,04/01/1942,126700
Meghan,Kay,Knight,F,800-37-1582,05/08/1986,93000
John,James,Black,M,000-11-2402,05/26/1940,146300
Rosa,Giovanna,Eisbach,F,800-06-2006,03/28/1978,109200
Robert,Johnny,Medford,M,000-85-3716,05/31/1988,54300
Elizabeth,Stella,Pope,F,800-29-6448,03/04/1968,145100
Avis,Maria,Walton,F,800-84-9645,05/29/1973,77300
Catherine,Jodi,Douglas,F,000-15-7121,08/30/1971,122300
Lana,Kristen,Hunter,F,900-25-3393,10/13/1971,136000
Clayton,Ricky,Bentsen,M,800-49-2450,02/22/1972,94100
John,James,Easterwood,M,900-10-8804,12/31/1973,64800
Esther,Katherine,Hart,F,000-04-2189,08/10/1980,91200
Victor,Gregory,Dorsey,M,800-53-3565,07/16/1986,129700
Deidra,Terese,Fruehling,F,900-41-9329,10/02/1969,65200
Joseph,Aaron,Wilkins,M,800-11-5768,03/26/1969,95600
Erin,Bridgett,Simpson,F,000-81-5161,08/24/1937,53100
Ronald,Randy,Deyo,M,000-90-1585,03/26/1940,45700
Wayne,Kevin,Gallargo,M,000-37-6421,05/19/1981,108500
Skyler,Jason,Ward,M,800-68-4124,03/29/1977,113600
Savannah,Brenda,Potter,F,900-17-5934,09/30/1957,143100
Oscar,Derek,Larson,M,800-09-6187,07/25/1963,78900
Aimee,Tisha,Vanhekken,F,900-68-0635,08/01/1942,84700
Lindsay,Nancy,Waddell,F,900-84-2053,12/31/1949,131600
Daniel,Timothy,Lattanzio,M,000-05-3396,07/06/1943,63900
Melanie,Rebecca,Lawrence,F,800-59-5943,06/17/1937,132000
Olga,Kimberly,Strowbridge,F,900-35-7565,08/14/1979,129700
Kevin,Jonah,Montgomery,M,000-37-7348,11/11/1939,121400
Joseph,Dominic,Jordan,M,800-88-5603,09/27/1977,71100
Stephanie,Alexis,Torres,F,000-24-5842,04/23/1965,65900
Janice,Stephanie,Lynn,F,800-26-5743,07/16/1976,72900
Joseph,Hans,Berretti,M,000-53-0562,05/23/1946,144200
Danny,Gary,Russell,M,000-38-3080,12/08/1930,96900
Margaret,Griselda,Wardell,F,900-55-2000,03/12/1976,142900
Carolyn,Georgia,Hutchinson,F,800-08-3983,11/23/1987,141400
Claudette,Sarah,Terry,F,000-84-6268,10/26/1966,56700
Felicia,Kallie,Walker,F,800-79-5245,07/05/1979,135300
Kellie,Sara,Floyd,F,900-36-4490,03/27/1956,82400
Johnny,Jacques,Robinson,M,800-52-1882,10/15/1982,88500
George,Eric,King,M,000-93-2468,09/03/1961,81500
Kitty,Tanya,Silva,F,000-91-9965,11/26/1987,63700
Mackenzie,Theresa,Roberts,F,800-35-8301,03/28/1983,85200
Gabriel,Thomas,Pace,M,800-37-3431,05/22/1974,82000
John,Javion,Harless,M,000-37-8096,04/12/1980,121400
Katharine,Molly,Farmer,F,000-46-6226,04/24/1968,119100
Cassidy,Kara,Cheeks,F,800-78-2423,09/21/1986,72800
Susan,Jan,Ralston,F,800-90-3749,03/30/1951,85600
Laurie,Sherry,Fimbrez,F,800-58-8680,10/31/1954,50000
Linwood,Millard,Reis,M,900-15-9935,08/21/1953,107900
Jill,Madeline,Howard,F,000-20-7041,02/28/1966,137500
Sylvia,Sheila,Gayler,F,800-01-8951,03/07/1943,84000
Lindsay,Erica,Snyder,F,000-97-0097,11/16/1944,100500
Dylan,Matthew,Cope,M,000-24-2851,08/12/1979,108400
Michael,Richard,Wright,M,000-18-8886,09/01/1943,88200
Deborah,Charlotte,Doss,F,900-71-9136,01/03/1971,116400
Julian,Alexander,Navarro,M,000-92-0472,11/21/1948,59900
Sharon,Erin,Foster,F,800-72-4625,01/02/1970,115200
Maureen,Verna,Wallace,F,000-25-4678,01/18/1944,116100
Natalie,Tina,Hower,F,000-50-4498,10/19/1940,47800
Rebecca,Cynthia,Western,F,800-91-0203,06/20/1972,64300
Emilie,Sandra,Daugherty,F,800-05-7986,06/03/1969,52400
Jon,Gavin,Tillery,M,900-76-2711,07/12/1958,78700
Ashley,Karen,Sorenson,F,000-91-4561,05/24/1951,113800
Craig,Caleb,Craig,M,800-76-0098,04/28/1963,104000
Alexis,Alysha,Swartz,F,000-33-7041,06/20/1966,59100
Hollis,Michael,Moodispaugh,M,000-91-2562,11/30/1933,82600
Daniel,Christopher,Farmer,M,800-96-0552,04/10/1962,75900
Robert,Shawn,Eastman,M,000-86-7649,04/16/1953,57800
Barbara,Jennifer,Morris,F,900-26-8692,08/11/1961,82100
Pedro,Gregory,Forester,M,900-71-2925,12/03/1977,60600
Lillian,Christine,McDonald,F,900-95-0879,10/15/1933,45500
Pamela,Linda,Tambe,F,800-50-1428,09/11/1939,124600
Lawrence,Matthew,McClung,M,800-44-7198,09/09/1975,54500
Celeste,Sophie,Knoll,F,800-18-7562,12/05/1940,79800
Marty,Larry,Hall,M,000-91-9752,10/28/1970,90100
Vincent,Sean,Sharp,M,000-27-3597,06/10/1969,124800
Holly,Nina,Coxey,F,000-43-1842,02/22/1942,66400
Stella,Abigail,Walker,F,000-41-9392,02/25/1986,75500
Patricia,Kelly,Hernandez,F,000-59-8920,10/08/1937,103600
Robert,Clint,Spalinger,M,900-46-0566,09/26/1971,119500
Kathy,Haylee,Berg,F,800-18-7735,06/29/1970,92600
Danica,Deborah,Barbosa,F,800-89-2692,01/19/1945,136600
Henry,Gavin,Lopez,M,900-05-2530,11/21/1970,87500
Carly,Janice,Tabares,F,900-66-1752,04/04/1974,143200
Ruth,Sarah,Acosta,F,000-18-9745,02/17/1938,109300
Carole,Evelyn,Mudge,F,800-76-3431,02/21/1945,50900
Jonathon,Jakob,Wheeler,M,000-69-5114,08/09/1975,63500
Abigail,Miranda,Abbenante,F,000-23-6477,10/24/1934,53400
Judy,Brittany,Greene,F,900-09-9543,12/08/1946,91200
Claudette,Diana,Walters,F,000-15-7728,01/16/1956,61200
Linda,Cynthia,Wojcik,F,000-08-2714,01/23/1971,141300
Delilah,Olivia,Rudolph,F,000-01-8993,12/06/1969,95200
Jenny,Mia,Myers,F,800-93-5781,11/04/1979,64500
Dante,Lawrence,Woodworth,M,900-57-8437,04/25/1952,143700
William,Carlos,Evans,M,900-04-7105,04/27/1954,143100
Cheryle,Jennifer,Diaz,F,900-93-1619,04/11/1951,146600
Colin,Kevin,Douglas,M,000-94-7391,03/20/1940,78700
Jill,Casey,Hargrave,F,900-48-9845,05/05/1936,91400
Ann,Olivia,Clarke,F,000-31-0641,12/09/1965,67700
Karly,Karen,Simpson,F,000-29-0424,07/13/1941,104800
Conner,Nicholas,Perez,M,900-23-0741,01/16/1986,114000
Eleanor,Kaila,Olsen,F,800-27-6306,12/20/1982,128400
Tyrone,John,Mitchell,M,000-67-7714,02/23/1947,64200
Millie,Jo,Tussey,F,900-21-0317,06/11/1946,47300
Frank,Robert,Meyer,M,800-65-3756,08/18/1983,74400
Daniel,Michael,Munding,M,900-85-0366,08/10/1961,65300
Joseph,Vincent,Bollis,M,900-62-2555,05/10/1980,130900
James,Benjamin,James,M,900-01-3015,11/11/1971,99700
Ruthie,Julie,McClenaghan,F,900-82-6340,12/24/1957,143300
Scott,Stephen,Baillio,M,000-38-5735,11/26/1936,76200
Robert,Gilbert,Carroll,M,800-02-8687,10/03/1937,105800
Devin,John,Jones,M,900-31-1777,06/17/1989,126700
Leola,Angela,Vargas,F,000-19-3975,04/24/1964,53600
Robert,George,House,M,900-14-3013,04/18/1951,114200
Essence,Susan,Custer,F,900-29-8713,10/26/1981,80100
Rebecca,Abigail,Lee,F,000-50-3838,08/07/1931,53700
Jana,Helen,Kaufmann,F,800-77-4938,02/26/1975,106500
Barbara,Aubrie,Salinas,F,900-48-6292,06/02/1971,88400
Lacy,Anita,Condon,F,000-67-7098,09/25/1951,140400
Rick,Robert,Cadden,M,000-10-9063,06/06/1983,55800
Shawn,Vernon,Owens,M,800-26-6333,07/01/1971,45100
Charles,Syed,Wright,M,000-53-5514,02/20/1935,149700
Nicole,Ava,Waldrop,F,900-29-8549,07/17/1936,128100
Joseph,Billie,Rawls,M,900-09-8408,01/19/1944,103500
Nicole,Sally,Dowdy,F,800-58-5204,01/18/1978,51600
Destiny,Karla,Briggs,F,800-82-1480,09/02/1981,115500
Emily,Deborah,Knudsen,F,000-34-8194,05/08/1939,76600
Anthony,Ricky,Lombard,M,900-33-0497,02/22/1931,48500
Martha,Deborah,Wilson,F,800-29-2774,03/21/1944,127000
Natalie,Ashley,Sasaki,F,000-02-8994,05/30/1932,81700
Johnathan,Ray,Novak,M,900-93-4878,09/22/1970,58900
Michael,Larry,Roberts,M,000-05-6323,05/24/1981,54800
Harold,Benjamin,Jacobs,M,900-23-1803,05/06/1957,119600
Helen,Judith,Adams,F,800-64-8147,08/19/1942,49200
Billy,Donald,Bitto,M,800-39-7590,04/25/1963,64300
Pamela,Marie,Gray,F,800-39-2098,06/03/1932,69800
Lydia,Debra,Turner,F,900-96-7084,06/13/1947,75100
Gregory,Devin,Shipman,M,000-92-3691,03/17/1931,70500
Joseph,Deacon,Garza,M,800-13-5016,07/17/1934,90200
Rebecca,Chloe,Beaudoin,F,000-97-0193,01/27/1986,92200
Natalie,Barbara,Gibson,F,800-76-9053,06/24/1975,137100
Jared,Bryan,Medina,M,800-69-2573,10/18/1942,107000
Ronald,Stephen,Woodford,M,800-17-8212,10/22/1969,89200
Douglas,Grayson,McComb,M,800-66-8224,07/13/1936,61400
Justin,Sterling,Linder,M,000-02-0528,12/02/1941,85500
Candi,Doris,Alcantara,F,000-29-9573,10/13/1939,130900
Emily,Marilee,Jenovese,F,900-13-6407,12/01/1966,70800
Brandi,Terrie,Bailey,F,900-15-6268,05/07/1983,121500
